n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,4,400000,rpkm,3.0,3345.3,0.21855709552764893
3,4,400000,rpkm,4.0,19333.2,0.3039709568023682
3,4,400000,rpkm,5.0,50699.1,0.4763633728027344
3,4,400000,rpkm,6.0,393170.4,1.0376150608062744
3,4,1200000,k-means++,0,37440000.0,0.233437442779541
3,4,1200000,mb-kmeans,100.0,7200300.0,2.4580737113952638
3,4,1200000,mb-kmeans,500.0,7201650.0,1.98445405960083
3,4,1200000,mb-kmeans,1000.0,7203300.0,0.6354592084884644
3,4,1200000,rpkm,1.0,82.8,0.24196839332580566
3,4,1200000,rpkm,2.0,391.2,0.39063687324523927
3,4,1200000,rpkm,3.0,2726.4,0.5968080282211303
3,4,1200000,rpkm,4.0,11096.1,0.8300923109054565
3,4,1200000,rpkm,5.0,35706.6,1.1605071783065797
3,4,1200000,rpkm,6.0,130483.5,1.8692360162734984
3,4,4000000,k-means++,0,132000000.0,0.793735146522522
3,4,4000000,mb-kmeans,100.0,24000300.0,6.167572546005249
3,4,4000000,mb-kmeans,500.0,24001800.0,6.331338858604431
3,4,4000000,mb-kmeans,1000.0,24003300.0,4.494131994247437
3,4,4000000,rpkm,1.0,34.8,0.5150533437728881
3,4,4000000,rpkm,2.0,167.4,0.9527249574661255
3,4,4000000,rpkm,3.0,853.8,1.5462102890014648
3,4,4000000,rpkm,4.0,5124.3,2.303936719894409
3,4,4000000,rpkm,5.0,14963.1,3.316318464279175
3,4,4000000,rpkm,6.0,54048.9,4.551722931861877
3,8,4000,k-means++,0,110400.0,0.004918193817138672
3,8,4000,mb-kmeans,100.0,24480.0,0.041988158226013185
3,8,4000,mb-kmeans,500.0,30450.0,0.03652536869049072
3,8,4000,mb-kmeans,1000.0,47700.0,0.03998672962188721
3,8,4000,rpkm,1.0,411.9,0.004749965667724609
3,8,4000,rpkm,2.0,2428.2,0.013102126121520997
3,8,4000,rpkm,3.0,8547.0,0.027980780601501463
3,8,4000,rpkm,4.0,19282.2,0.0704610824584961
3,8,4000,rpkm,5.0,30390.6,0.13783729076385498
3,8,4000,rpkm,6.0,41034.3,0.2366664171218872
3,8,12000,k-means++,0,435600.0,0.007601141929626465
3,8,12000,mb-kmeans,100.0,72480.0,0.10346667766571045
3,8,12000,mb-kmeans,500.0,75150.0,0.04667916297912598
3,8,12000,mb-kmeans,1000.0,81900.0,0.04637224674224853
3,8,12000,rpkm,1.0,489.3,0.0068070411682128905
3,8,12000,rpkm,2.0,3078.6,0.016550326347351076
3,8,12000,rpkm,3.0,9227.7,0.04109809398651123
3,8,12000,rpkm,4.0,24574.2,0.10543587207794189
3,8,12000,rpkm,5.0,91537.8,0.21988835334777831
3,8,12000,rpkm,6.0,115481.4,0.40827226638793945
3,8,40000,k-means++,0,1008000.0,0.012764453887939453
3,8,40000,mb-kmeans,100.0,240330.0,0.1960857629776001
3,8,40000,mb-kmeans,500.0,242400.0,0.0928799867630005
3,8,40000,mb-kmeans,1000.0,245100.0,0.06731314659118652
3,8,40000,rpkm,1.0,467.7,0.016001367568969728
3,8,40000,rpkm,2.0,3843.6,0.029823684692382814
3,8,40000,rpkm,3.0,11893.2,0.06550970077514648
3,8,40000,rpkm,4.0,44906.4,0.16022343635559083
3,8,40000,rpkm,5.0,85229.7,0.36216604709625244
3,8,40000,rpkm,6.0,144269.7,0.8147342920303344
3,8,120000,k-means++,0,3888000.0,0.03265259265899658
3,8,120000,mb-kmeans,100.0,720330.0,0.5464426755905152
3,8,120000,mb-kmeans,500.0,721950.0,0.17763214111328124
3,8,120000,mb-kmeans,1000.0,724200.0,0.11885666847229004
3,8,120000,rpkm,1.0,518.4,0.0400294303894043
3,8,120000,rpkm,2.0,4010.7,0.06916606426239014
3,8,120000,rpkm,3.0,16375.5,0.1229961633682251
3,8,120000,rpkm,4.0,55142.4,0.2513747692108154
3,8,120000,rpkm,5.0,116872.8,0.5797497034072876
3,8,120000,rpkm,6.0,348639.0,1.5769237279891968
3,8,400000,k-means++,0,11880000.0,0.09532051086425782
3,8,400000,mb-kmeans,100.0,2400330.0,2.011814761161804
3,8,400000,mb-kmeans,500.0,2402100.0,0.7646957874298096
3,8,400000,mb-kmeans,1000.0,2403900.0,0.3186298131942749
3,8,400000,rpkm,1.0,291.6,0.10751399993896485
3,8,400000,rpkm,2.0,2118.3,0.18900365829467775
3,8,400000,rpkm,3.0,15834.0,0.30751852989196776
3,8,400000,rpkm,4.0,49435.8,0.48218162059783937
3,8,400000,rpkm,5.0,124661.7,0.9287737131118774
3,8,400000,rpkm,6.0,327365.7,2.3657429218292236
3,8,1200000,k-means++,0,37440000.0,0.2895359992980957
3,8,1200000,mb-kmeans,100.0,7200300.0,2.519975185394287
3,8,1200000,mb-kmeans,500.0,7202100.0,2.1515758991241456
3,8,1200000,mb-kmeans,1000.0,7204200.0,1.43845534324646
3,8,1200000,rpkm,1.0,113.4,0.23945133686065673
3,8,1200000,rpkm,2.0,968.4,0.4560383319854736
3,8,1200000,rpkm,3.0,5553.6,0.7785969018936157
3,8,1200000,rpkm,4.0,36786.9,1.1534504175186158
3,8,1200000,rpkm,5.0,93059.1,1.8304924488067627
3,8,1200000,rpkm,6.0,269735.1,3.469142436981201
3,8,4000000,k-means++,0,126000000.0,1.0005453824996948
3,8,4000000,mb-kmeans,100.0,24000300.0,2.798117232322693
3,8,4000000,mb-kmeans,500.0,24001650.0,4.75297794342041
3,8,4000000,mb-kmeans,1000.0,24003900.0,7.6968398809432985
3,8,4000000,rpkm,1.0,63.6,0.6967294692993165
3,8,4000000,rpkm,2.0,707.7,1.4539699316024781
3,8,4000000,rpkm,3.0,4544.4,2.6397821426391603
3,8,4000000,rpkm,4.0,21815.1,4.0627227306365965
