n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,8,100.0,mb-kmeans,100.0,0.2552424825910935,42.715622219896076,1.420155810060031
3,8,100.0,mb-kmeans,500.0,0.2552424825910935,42.715622219896076,1.420155810060031
3,8,100.0,mb-kmeans,1000.0,0.2552424825910935,42.715622219896076,1.420155810060031
3,8,100.0,rpkm,1.0,0.23898132540570033,40.204038210730765,1.4800631937084423
3,8,100.0,rpkm,2.0,0.25785599366431766,42.94201434396333,1.407538460882894
3,8,100.0,rpkm,3.0,0.25785599366431766,42.94201434396333,1.407538460882894
3,8,100.0,rpkm,4.0,0.25785599366431766,42.94201434396333,1.407538460882894
3,8,100.0,rpkm,5.0,0.25785599366431766,42.94201434396333,1.407538460882894
3,8,100.0,rpkm,6.0,0.25785599366431766,42.94201434396333,1.407538460882894
3,8,1000.0,k-means++,None,0.26686333727234823,447.52303133619205,1.4244198869255966
3,8,1000.0,mb-kmeans,100.0,0.2664315242689531,446.9923283463562,1.4256706578950806
3,8,1000.0,mb-kmeans,500.0,0.2661360826987852,446.85369030181516,1.4280123535076767
3,8,1000.0,mb-kmeans,1000.0,0.26605330719909326,446.70728250223345,1.4280482528838105
3,8,1000.0,rpkm,1.0,0.2565658938929828,434.0555152044218,1.5026308645664295
3,8,1000.0,rpkm,2.0,0.25696214745286083,434.41974044450836,1.499520459927114
3,8,1000.0,rpkm,3.0,0.2668359620458497,447.5262675271736,1.4242936686162522
3,8,1000.0,rpkm,4.0,0.2668359620458497,447.5262675271736,1.4242936686162522
3,8,1000.0,rpkm,5.0,0.2668359620458497,447.5262675271736,1.4242936686162522
3,8,1000.0,rpkm,6.0,0.2668359620458497,447.5262675271736,1.4242936686162522
3,8,10000.0,k-means++,None,0.2682870628863177,4509.14787862565,1.403286617467564
3,8,10000.0,mb-kmeans,100.0,0.26816320655087955,4507.902524603443,1.4040650934788974
3,8,10000.0,mb-kmeans,500.0,0.26811956046207375,4508.296382929542,1.4039039006453153
3,8,10000.0,mb-kmeans,1000.0,0.26826131938916786,4508.279319426833,1.4036948952469932
